Name of the initiative,Type of the initiative,Status of the initiative,Year of implementation
General information,General information,General information,General information
Albania ETS,ETS,Under consideration,TBC
Alberta TIER,ETS,Implemented,2007
Argentina carbon tax,Carbon tax,Implemented,2018
Australia (Safeguard Mechanism),ETS,Scheduled,2023
Austria ETS,ETS,Implemented,2022
BC GGIRCA,ETS,Implemented,2016
BC carbon tax,Carbon tax,Implemented,2008
Baja California carbon tax,Carbon tax,Abolished,TBC
Beijing pilot ETS,ETS,Implemented,2013
Bosnia and Herzegovina ETS,ETS,Under consideration,TBC
Botswana carbon tax,Carbon tax,Under consideration,TBC
Brazil ETS,ETS,Under consideration,TBC
Brunei Darussalam undecided,Undecided,Under consideration,TBC
California CaT,ETS,Implemented,2012
Canada federal OBPS,ETS,Implemented,2019
Canada federal fuel charge,Carbon tax,Implemented,2019
Catalonia carbon tax,Carbon tax,Under consideration,TBC
Chile ETS,ETS,Under consideration,TBC
Chile carbon tax,Carbon tax,Implemented,2017
China national ETS,ETS,Implemented,2021
Chongqing pilot ETS,ETS,Implemented,2014
Colombia ETS,ETS,Under consideration,TBC
Colombia carbon tax,Carbon tax,Implemented,2017
Cote d'Ivoire carbon tax,Carbon tax,Under consideration,TBC
Denmark carbon tax,Carbon tax,Implemented,1992
Durango Carbon tax,Carbon tax,Implemented,2023
EU ETS,ETS,Implemented,2005
EU27+ ETS,ETS,Under consideration,TBC
Estonia carbon tax,Carbon tax,Implemented,2000
Finland carbon tax,Carbon tax,Implemented,1990
France carbon tax,Carbon tax,Implemented,2014
Fujian pilot ETS,ETS,Implemented,2016
Gabon ETS,ETS,Under consideration,TBC
Georgia ETS,ETS,Under consideration,TBC
Germany ETS,ETS,Implemented,2021
Guanajuato carbon tax,Carbon tax,Scheduled,2023
Guangdong pilot ETS,ETS,Implemented,2013
Hawaii carbon tax,Carbon tax,Under consideration,TBC
Hubei pilot ETS,ETS,Implemented,2014
Iceland carbon tax,Carbon tax,Implemented,2010
Indonesia,ETS,Implemented,2023
Indonesia carbon tax,Carbon tax,Under consideration,TBC
Ireland carbon tax,Carbon tax,Implemented,2010
Israel carbon tax,Carbon tax,Under consideration,TBC
Jalisco carbon tax,Carbon tax,Under consideration,TBC
Japan ETS,ETS,Under consideration,TBC
Japan carbon tax,Carbon tax,Implemented,2012
Kazakhstan ETS,ETS,Implemented,2013
Korea ETS,ETS,Implemented,2015
Latvia carbon tax,Carbon tax,Implemented,2004
Liechtenstein carbon tax,Carbon tax,Implemented,2008
Luxembourg carbon tax,Carbon tax,Implemented,2021
Malaysia ETS,ETS,Under consideration,TBC
Manitoba ETS,ETS,Under consideration,TBC
Manitoba carbon tax,Carbon tax,Under consideration,TBC
Massachusetts ETS,ETS,Implemented,2018
Mexico carbon tax,Carbon tax,Implemented,2014
Mexico pilot ETS,ETS,Implemented,2020
Moldova ETS,ETS,Under consideration,TBC
Montenegro ETS,ETS,Implemented,2022
Morocco carbon tax,Carbon tax,Under consideration,TBC
Netherlands carbon tax,Carbon tax,Implemented,2021
New Brunswick ETS,ETS,Implemented,2021
New Brunswick carbon tax,Carbon tax,Implemented,2020
New York ETS,ETS,Under consideration,TBC
New Zealand ETS,ETS,Implemented,2008
New Zealand carbon tax,Carbon tax,Under consideration,TBC
Newfoundland and Labrador PSS,ETS,Implemented,2019
Newfoundland and Labrador carbon tax,Carbon tax,Implemented,2019
Nigeria ETS,ETS,Under consideration,TBC
North Macedonia ETS,ETS,Under consideration,TBC
Northwest Territories carbon tax,Carbon tax,Implemented,2019
Norway carbon tax,Carbon tax,Implemented,1991
Nova Scotia CaT,ETS,Implemented,2019
Ontario EPS,ETS,Implemented,2022
Oregon ETS,ETS,Implemented,2021
Pakistan ETS,ETS,Under consideration,TBC
Pennsylvania ETS,ETS,Under consideration,TBC
Poland carbon tax,Carbon tax,Implemented,1990
Portugal carbon tax,Carbon tax,Implemented,2015
Prince Edward Island carbon tax,Carbon tax,Implemented,2019
Quebec CaT,ETS,Implemented,2013
Queretaro carbon tax,Carbon tax,Implemented,2022
RGGI,ETS,Implemented,2009
Rio de Janeiro ,,,TBC
Saitama ETS,ETS,Implemented,2011
Sakhalin ETS,ETS,Scheduled,2023
Sao Paolo ,,,TBC
Saskatchewan OBPS,ETS,Implemented,2019
Senegal carbon tax,Carbon tax,Under consideration,TBC
Serbia ETS,ETS,Under consideration,TBC
Shanghai pilot ETS,ETS,Implemented,2013
Shenyang ETS,ETS,Removed,TBC
Shenzhen pilot ETS,ETS,Implemented,2013
Singapore carbon tax,Carbon tax,Implemented,2019
South Africa carbon tax,Carbon tax,Implemented,2019
Spain carbon tax,Carbon tax,Implemented,2014
State of Mexico carbon tax,Carbon tax,Implemented,2022
Sweden carbon tax,Carbon tax,Implemented,1991
Switzerland ETS,ETS,Implemented,2008
Switzerland carbon tax,Carbon tax,Implemented,2008
TCI ETS,ETS,Removed,TBC
Taiwan ETS,ETS,Under consideration,TBC
Taiwan carbon tax,Carbon tax,Under consideration,TBC
Thailand ETS,ETS,Under consideration,TBC
Tianjin pilot ETS,ETS,Implemented,2013
Tokyo CaT,ETS,Implemented,2010
Turkey ETS,ETS,Under consideration,TBC
UK Carbon Price Support,Carbon tax,Implemented,2013
UK ETS,ETS,Implemented,2021
Ukraine ETS,ETS,Under consideration,TBC
Ukraine carbon tax,Carbon tax,Implemented,2011
Uruguay CO2 tax,Carbon tax,Implemented,2022
Vietnam ETS,ETS,Scheduled,2023
Washington CCA,ETS,Implemented,2023
Yucatan carbon tax,Carbon tax,Implemented,2022
Zacatecas carbon tax,Carbon tax,Implemented,2017
